DataHora;localizacao;Valor;CC;Dia semana;Hora
06/01/2014 07:28;Brew've Been Served;11;CC: 4795;segunda-feira, 6 ;7
06/01/2014 07:34;Hallowed Grounds;52;CC: 7108;segunda-feira, 6 ;7
06/01/2014 07:35;Brew've Been Served;8;CC: 6816;segunda-feira, 6 ;7
06/01/2014 07:36;Hallowed Grounds;17;CC: 9617;segunda-feira, 6 ;7
06/01/2014 07:37;Brew've Been Served;4;CC: 7384;segunda-feira, 6 ;7
06/01/2014 07:38;Brew've Been Served;4;CC: 5368;segunda-feira, 6 ;7
06/01/2014 07:42;Coffee Cameleon;29;CC: 7253;segunda-feira, 6 ;7
06/01/2014 07:43;Brew've Been Served;10;CC: 4948;segunda-feira, 6 ;7
06/01/2014 07:43;Brew've Been Served;17;CC: 9683;segunda-feira, 6 ;7
06/01/2014 07:47;Hallowed Grounds;17;CC: 8129;segunda-feira, 6 ;7
06/01/2014 07:48;Hallowed Grounds;11;CC: 3492;segunda-feira, 6 ;7
06/01/2014 07:49;Coffee Cameleon;8;CC: 5921;segunda-feira, 6 ;7
06/01/2014 07:52;Brew've Been Served;33;CC: 9405;segunda-feira, 6 ;7
06/01/2014 07:54;Hallowed Grounds;17;CC: 7889;segunda-feira, 6 ;7
06/01/2014 07:54;Coffee Cameleon;12;CC: 2142;segunda-feira, 6 ;7
06/01/2014 07:54;Hallowed Grounds;33;CC: 2681;segunda-feira, 6 ;7
06/01/2014 07:55;Hallowed Grounds;8;CC: 9551;segunda-feira, 6 ;7
06/01/2014 07:55;Brew've Been Served;4;CC: 3484;segunda-feira, 6 ;7
06/01/2014 07:59;Brew've Been Served;9;CC: 7819;segunda-feira, 6 ;7
06/01/2014 08:00;Brew've Been Served;4;CC: 5407;segunda-feira, 6 ;8
06/01/2014 08:00;Hallowed Grounds;10;CC: 6691;segunda-feira, 6 ;8
06/01/2014 08:01;Hallowed Grounds;10;CC: 1874;segunda-feira, 6 ;8
06/01/2014 08:06;Brew've Been Served;18;CC: 3853;segunda-feira, 6 ;8
06/01/2014 08:06;Brew've Been Served;16;CC: 4434;segunda-feira, 6 ;8
06/01/2014 08:07;Brew've Been Served;6;CC: 6901;segunda-feira, 6 ;8
06/01/2014 08:14;Coffee Cameleon;3;CC: 2418;segunda-feira, 6 ;8
06/01/2014 08:16;Brew've Been Served;15;CC: 1286;segunda-feira, 6 ;8
06/01/2014 08:16;Brew've Been Served;11;CC: 8411;segunda-feira, 6 ;8
06/01/2014 08:17;Brew've Been Served;15;CC: 8202;segunda-feira, 6 ;8
06/01/2014 08:23;Abila Airport;4540;CC: 9220;segunda-feira, 6 ;8
06/01/2014 09:06;Kronos Pipe and Irrigation;242;CC: 9220;segunda-feira, 6 ;9
06/01/2014 10:02;Nationwide Refinery;762;CC: 9735;segunda-feira, 6 ;10
06/01/2014 10:18;Maximum Iron and Steel;2860;CC: 9220;segunda-feira, 6 ;10
06/01/2014 11:33;Stewart and Sons Fabrication;2145;CC: 9735;segunda-feira, 6 ;11
06/01/2014 11:57;Carlyle Chemical Inc.;3960;CC: 9220;segunda-feira, 6 ;11
06/01/2014 12:00;Coffee Shack;52;CC: 7117;segunda-feira, 6 ;12
06/01/2014 12:00;Bean There Done That;10;CC: 1415;segunda-feira, 6 ;12
06/01/2014 12:00;Bean There Done That;16;CC: 9635;segunda-feira, 6 ;12
06/01/2014 12:00;Brewed Awakenings;6;CC: 7688;segunda-feira, 6 ;12
06/01/2014 12:00;Jack's Magical Beans;11;CC: 6899;segunda-feira, 6 ;12
06/01/2014 12:00;Brewed Awakenings;17;CC: 2540;segunda-feira, 6 ;12
06/01/2014 12:00;Bean There Done That;9;CC: 1877;segunda-feira, 6 ;12
06/01/2014 12:00;Brewed Awakenings;4;CC: 8332;segunda-feira, 6 ;12
06/01/2014 12:00;Bean There Done That;5;CC: 1321;segunda-feira, 6 ;12
06/01/2014 12:00;Bean There Done That;4;CC: 6895;segunda-feira, 6 ;12
06/01/2014 12:00;Jack's Magical Beans;19;CC: 9241;segunda-feira, 6 ;12
06/01/2014 12:00;Jack's Magical Beans;28;CC: 8156;segunda-feira, 6 ;12
06/01/2014 12:00;Jack's Magical Beans;18;CC: 2463;segunda-feira, 6 ;12
06/01/2014 12:16;Abila Airport;1874;CC: 8642;segunda-feira, 6 ;12
06/01/2014 12:56;Katerina’s Café;14;CC: 8332;segunda-feira, 6 ;12
06/01/2014 12:57;Hippokampos;9;CC: 8156;segunda-feira, 6 ;12
06/01/2014 13:18;Abila Zacharo;107;CC: 2418;segunda-feira, 6 ;13
06/01/2014 13:19;Gelatogalore;13;CC: 7253;segunda-feira, 6 ;13
06/01/2014 13:19;Kalami Kafenion;70;CC: 3484;segunda-feira, 6 ;13
06/01/2014 13:20;Hippokampos;34;CC: 6691;segunda-feira, 6 ;13
06/01/2014 13:21;Hippokampos;28;CC: 9551;segunda-feira, 6 ;13
06/01/2014 13:22;Ouzeri Elian;39;CC: 2540;segunda-feira, 6 ;13
06/01/2014 13:23;Hippokampos;13;CC: 4795;segunda-feira, 6 ;13
06/01/2014 13:24;Guy's Gyros;15;CC: 1415;segunda-feira, 6 ;13
06/01/2014 13:27;Abila Zacharo;30;CC: 7688;segunda-feira, 6 ;13
06/01/2014 13:27;Abila Zacharo;50;CC: 1286;segunda-feira, 6 ;13
06/01/2014 13:28;Katerina’s Café;34;CC: 8411;segunda-feira, 6 ;13
06/01/2014 13:28;Kalami Kafenion;9;CC: 5407;segunda-feira, 6 ;13
06/01/2014 13:30;Guy's Gyros;17;CC: 7384;segunda-feira, 6 ;13
06/01/2014 13:35;Hippokampos;37;CC: 2681;segunda-feira, 6 ;13
06/01/2014 13:35;Abila Zacharo;92;CC: 7354;segunda-feira, 6 ;13
06/01/2014 13:37;Ouzeri Elian;21;CC: 6816;segunda-feira, 6 ;13
06/01/2014 13:39;Guy's Gyros;11;CC: 1310;segunda-feira, 6 ;13
06/01/2014 13:41;Gelatogalore;23;CC: 7889;segunda-feira, 6 ;13
06/01/2014 13:42;Ouzeri Elian;20;CC: 6895;segunda-feira, 6 ;13
06/01/2014 13:46;Guy's Gyros;31;CC: 9635;segunda-feira, 6 ;13
06/01/2014 13:46;Katerina’s Café;19;CC: 6899;segunda-feira, 6 ;13
06/01/2014 13:46;Guy's Gyros;100;CC: 2463;segunda-feira, 6 ;13
06/01/2014 13:47;Kalami Kafenion;22;CC: 1321;segunda-feira, 6 ;13
06/01/2014 13:48;Ouzeri Elian;21;CC: 5368;segunda-feira, 6 ;13
06/01/2014 13:48;Ouzeri Elian;31;CC: 5921;segunda-feira, 6 ;13
06/01/2014 13:50;Katerina’s Café;14;CC: 1874;segunda-feira, 6 ;13
06/01/2014 13:50;Katerina’s Café;33;CC: 9617;segunda-feira, 6 ;13
06/01/2014 13:52;Kalami Kafenion;22;CC: 4434;segunda-feira, 6 ;13
06/01/2014 13:52;Gelatogalore;36;CC: 3492;segunda-feira, 6 ;13
06/01/2014 13:53;Katerina’s Café;37;CC: 2142;segunda-feira, 6 ;13
06/01/2014 13:54;Abila Zacharo;23;CC: 9405;segunda-feira, 6 ;13
06/01/2014 13:57;Hippokampos;9;CC: 1877;segunda-feira, 6 ;13
06/01/2014 13:58;Hippokampos;38;CC: 8202;segunda-feira, 6 ;13
06/01/2014 13:59;Katerina’s Café;39;CC: 3853;segunda-feira, 6 ;13
06/01/2014 14:00;Kalami Kafenion;13;CC: 7117;segunda-feira, 6 ;14
06/01/2014 14:00;Gelatogalore;23;CC: 7819;segunda-feira, 6 ;14
06/01/2014 14:04;Hippokampos;31;CC: 4948;segunda-feira, 6 ;14
06/01/2014 14:05;Abila Zacharo;78;CC: 7108;segunda-feira, 6 ;14
06/01/2014 14:15;Kalami Kafenion;27;CC: 8129;segunda-feira, 6 ;14
06/01/2014 14:17;Katerina’s Café;20;CC: 6901;segunda-feira, 6 ;14
06/01/2014 15:14;Abila Airport;777;CC: 9220;segunda-feira, 6 ;15
06/01/2014 15:39;Abila Airport;612;CC: 8642;segunda-feira, 6 ;15
06/01/2014 17:28;U-Pump;60;CC: 3484;segunda-feira, 6 ;17
06/01/2014 18:56;Katerina’s Café;79;CC: 8411;segunda-feira, 6 ;18
06/01/2014 19:08;Katerina’s Café;26;CC: 8129;segunda-feira, 6 ;19
06/01/2014 19:18;Guy's Gyros;39;CC: 7384;segunda-feira, 6 ;19
06/01/2014 19:50;Frydos Autosupply n' More;274;CC: 9241;segunda-feira, 6 ;19
06/01/2014 20:07;Katerina’s Café;24;CC: 7253;segunda-feira, 6 ;20
06/01/2014 20:08;Katerina’s Café;12;CC: 1874;segunda-feira, 6 ;20
