DataHora;localizacao;Valor;CC;Dia;Hora
06/01/2014 07:28;Brew've Been Served;11;CC: 4795;6 - Segunda-feira;7
06/01/2014 07:34;Hallowed Grounds;52;CC: 7108;6 - Segunda-feira;7
06/01/2014 07:35;Brew've Been Served;8;CC: 6816;6 - Segunda-feira;7
06/01/2014 07:36;Hallowed Grounds;17;CC: 9617;6 - Segunda-feira;7
06/01/2014 07:37;Brew've Been Served;4;CC: 7384;6 - Segunda-feira;7
06/01/2014 07:38;Brew've Been Served;4;CC: 5368;6 - Segunda-feira;7
06/01/2014 07:42;Coffee Cameleon;29;CC: 7253;6 - Segunda-feira;7
06/01/2014 07:43;Brew've Been Served;10;CC: 4948;6 - Segunda-feira;7
06/01/2014 07:43;Brew've Been Served;17;CC: 9683;6 - Segunda-feira;7
06/01/2014 07:47;Hallowed Grounds;17;CC: 8129;6 - Segunda-feira;7
06/01/2014 07:48;Hallowed Grounds;11;CC: 3492;6 - Segunda-feira;7
06/01/2014 07:49;Coffee Cameleon;8;CC: 5921;6 - Segunda-feira;7
06/01/2014 07:52;Brew've Been Served;33;CC: 9405;6 - Segunda-feira;7
06/01/2014 07:54;Hallowed Grounds;17;CC: 7889;6 - Segunda-feira;7
06/01/2014 07:54;Coffee Cameleon;12;CC: 2142;6 - Segunda-feira;7
06/01/2014 07:54;Hallowed Grounds;33;CC: 2681;6 - Segunda-feira;7
06/01/2014 07:55;Hallowed Grounds;8;CC: 9551;6 - Segunda-feira;7
06/01/2014 07:55;Brew've Been Served;4;CC: 3484;6 - Segunda-feira;7
06/01/2014 07:59;Brew've Been Served;9;CC: 7819;6 - Segunda-feira;7
06/01/2014 08:00;Brew've Been Served;4;CC: 5407;6 - Segunda-feira;8
06/01/2014 08:00;Hallowed Grounds;10;CC: 6691;6 - Segunda-feira;8
06/01/2014 08:01;Hallowed Grounds;10;CC: 1874;6 - Segunda-feira;8
06/01/2014 08:06;Brew've Been Served;18;CC: 3853;6 - Segunda-feira;8
06/01/2014 08:06;Brew've Been Served;16;CC: 4434;6 - Segunda-feira;8
06/01/2014 08:07;Brew've Been Served;6;CC: 6901;6 - Segunda-feira;8
06/01/2014 08:14;Coffee Cameleon;3;CC: 2418;6 - Segunda-feira;8
06/01/2014 08:16;Brew've Been Served;15;CC: 1286;6 - Segunda-feira;8
06/01/2014 08:16;Brew've Been Served;11;CC: 8411;6 - Segunda-feira;8
06/01/2014 08:17;Brew've Been Served;15;CC: 8202;6 - Segunda-feira;8
06/01/2014 08:23;Abila Airport;4540;CC: 9220;6 - Segunda-feira;8
06/01/2014 09:06;Kronos Pipe and Irrigation;242;CC: 9220;6 - Segunda-feira;9
06/01/2014 10:02;Nationwide Refinery;762;CC: 9735;6 - Segunda-feira;10
06/01/2014 10:18;Maximum Iron and Steel;2860;CC: 9220;6 - Segunda-feira;10
06/01/2014 11:33;Stewart and Sons Fabrication;2145;CC: 9735;6 - Segunda-feira;11
06/01/2014 11:57;Carlyle Chemical Inc.;3960;CC: 9220;6 - Segunda-feira;11
06/01/2014 12:00;Coffee Shack;52;CC: 7117;6 - Segunda-feira;12
06/01/2014 12:00;Bean There Done That;10;CC: 1415;6 - Segunda-feira;12
06/01/2014 12:00;Bean There Done That;16;CC: 9635;6 - Segunda-feira;12
06/01/2014 12:00;Brewed Awakenings;6;CC: 7688;6 - Segunda-feira;12
